"Project","Amount.Raised.in.ICO...M.","ICO.Close.Date","Page.count","Amount.Raised.per.Page...M."
"Rate3 Network","$17.50","5/21/18","45","$0.39"
"LikeCoin","$5.40","5/21/18","27","$0.20"
"Wealth Migrate","$3.37","5/21/18","58","$0.06"
"Blue Whale","$22.70","5/24/18","54","$0.42"
"MVL Chain","$9.97","5/24/18","39","$0.26"
"EdenChain","$1.90","5/25/18","50","$0.04"
"Sentinel Protocol","$4.20","5/27/18","24","$0.18"
"Seal Network","$8.16","5/27/18","65","$0.13"
"LemoChain","$6.30","5/27/18","52","$0.12"
"PCHAIN","$26.67","5/28/18","35","$0.76"
"Insureum","$20.00","5/28/18","56","$0.36"
"Phantasma Protocol","$9.65","5/28/18","49","$0.20"
"DCC","$26.20","5/29/18","71","$0.37"
"RightMesh","$30.00","5/31/18","53","$0.57"
"EOS","$4,200.00","6/1/18","26","$162"
"Engagement Token","$19.00","6/1/18","27","$0.70"
"Bittwatt","$20.00","6/1/18","31","$0.65"
"BlockBank","$12.83","6/1/18","22","$0.58"
"Kora Network ","$12.00","6/1/18","28","$0.43"
"Omnitude","$7.50","6/1/18","37","$0.20"
"Alttex ","$5.83","6/1/18","48","$0.12"
"Synexcoin","$0.49","6/1/18","7","$0.07"
"Clinicoin","$3.30","6/1/18","51","$0.06"
"EiraCube","$0.91","6/1/18","44","$0.02"
"Traxia Membership Token","$15.10","6/2/18","38","$0.40"
"BitRewards ","$6.60","6/2/18","70","$0.09"
"Etheera","$0.03","6/2/18","31","$0.00"
"QuarkChain","$20.00","6/3/18","40","$0.50"
"Aitheon","$25.35","6/5/18","37","$0.69"
"HybridBlock","$47.83","6/6/18","36","$1.33"
"Atonomi","$25.00","6/6/18","22","$1.14"
"Market.Space ","$15.20","6/6/18","30","$0.51"
"Peoplewave","$0.59","6/6/18","35","$0.02"
"intimate","$12.50","6/7/18","16","$0.78"
"Cobol Network","$5.55","6/7/18","8","$0.69"
"Arweave ","$8.70","6/7/18","18","$0.48"
"UBIATAR","$12.00","6/8/18","35","$0.34"
"BIT.GAME","$6.65","6/8/18","26","$0.26"
"Otppay","$1.38","6/8/18","25","$0.06"
"Fox Trading","$0.30","6/8/18","26","$0.01"
"Acudeen","$35.00","6/10/18","44","$0.80"
"Ambit","$4.00","6/10/18","19","$0.21"
"MSC","$5.51","6/10/18","33","$0.17"
"Synth","$2.00","6/11/18","22","$0.09"
"RusGas","$2.21","6/11/18","38","$0.06"
"Alchemint","$30.00","6/12/18","56","$0.54"
"Countinghouse Fund","$4.72","6/12/18","22","$0.21"
"GIFcoin","$2.80","6/13/18","40","$0.07"
"Scroll Token","$1.00","6/14/18","16","$0.06"
"Digital Ticks","$30.00","6/15/18","19","$1.58"
"Bubbletone Blockchain ","$8.60","6/15/18","33","$0.26"
"Dank Signals","$3.43","6/15/18","18","$0.19"
"FANTOM","$39.65","6/16/18","50","$0.79"
"OneLedger","$15.00","6/16/18","28","$0.54"
"Ternio","$3.00","6/16/18","32","$0.09"
"CryptalDash Exchange ","$15.29","6/18/18","30","$0.51"
"AIRBLOC Protocol","$10.43","6/19/18","56","$0.19"
"TaTaTu ","$575.00","6/20/18","48","$12"
"DAV Network","$28.51","6/25/18","24","$1.19"
"Multiversum","$21.52","6/25/18","46","$0.47"
"Metronome","$10.16","6/25/18","41","$0.25"
"Elysian","$7.00","6/26/18","38","$0.18"
"Essentia","$25.50","6/29/18","37","$0.69"
"TraceTo","$12.50","6/29/18","23","$0.54"
"INCX","$5.13","6/29/18","59","$0.09"
"Squeezer","$14.81","6/30/18","36","$0.41"
"Databroker DAO","$3.54","6/30/18","32","$0.11"
"blockhive","$0.32","6/30/18","40","$0.01"
"Atlantis Blue Digital","$23.90","7/1/18","10","$2"
"Midas Protocol","$9.02","7/1/18","41","$0.22"
"VISO","$1.00","7/1/18","23","$0.04"
"Tradingene","$1.43","7/1/18","46","$0.03"
"Honeybee","$0.18","7/1/18","18","$0.01"
"Bitscreener","$6.72","7/2/18","20","$0.34"
"Pontem Inc.","$2.50","7/2/18","13","$0.19"
"Digital Credit","$1.16","7/2/18","50","$0.02"
"Open Source University","$0.50","7/2/18","38","$0.01"
"GOToken","$21.00","7/3/18","31","$0.68"
"VIRUS","$20.00","7/3/18","50","$0.40"
"0xcert Protocol","$9.45","7/4/18","59","$0.16"
"ShareRing","$1.55","7/4/18","22","$0.07"
"Utrum","$1.16","7/4/18","38","$0.03"
"Universal Labs","$19.07","7/6/18","41","$0.47"
"VVToken","$6.10","7/7/18","22","$0.28"
"DACC","$13.53","7/7/18","53","$0.26"
"Carboneum","$6.34","7/7/18","35","$0.18"
"Xriba","$12.60","7/7/18","70","$0.18"
"Sparkster","$30.00","7/9/18","82","$0.37"
"Game Stars","$2.27","7/9/18","49","$0.05"
"Cruisebit","$16.00","7/10/18","46","$0.35"
"Verasity","$4.00","7/11/18","68","$0.06"
"PerfectChain Network","$4.00","7/12/18","19","$0.21"
"Mandala","$18.00","7/13/18","37","$0.49"
"GreenWorld Farm","$4.60","7/14/18","19","$0.24"
"CryptoAds","$3.23","7/14/18","28","$0.12"
"Arcona","$3.40","7/14/18","50","$0.07"
"Cryptosolartech","$68.98","7/15/18","25","$3"
"OFNOG","$15.00","7/15/18","21","$0.71"
"Bitgoals","$19.00","7/15/18","34","$0.56"
"Tripago","$8.12","7/15/18","25","$0.32"
"Kleros","$2.44","7/15/18","15","$0.16"
"BEAT","$3.30","7/15/18","35","$0.09"
"Gagapay Network","$1.30","7/15/18","30","$0.04"
"SOFIN","$1.31","7/15/18","43","$0.03"
"European Crypto Bank","$1.96","7/15/18","93","$0.02"
"Nervos Network ","$28.00","7/18/18","18","$1.56"
"TravelBlock","$25.20","7/18/18","32","$0.79"
"Nauticus","$17.00","7/18/18","56","$0.30"
"PDX","$9.58","7/18/18","65","$0.15"
"Disciplina","$13.92","7/19/18","24","$0.58"
"Liquidity Network","$23.61","7/19/18","41","$0.58"
"Rocati Limited","$1.10","7/19/18","30","$0.04"
"FLOGmall","$23.21","7/20/18","45","$0.52"
"Slate","$20.00","7/20/18","47","$0.43"
"Ticko","$6.03","7/20/18","23","$0.26"
"IAC AutoUnit","$10.69","7/22/18","37","$0.29"
"Bitmax","$13.70","7/23/18","13","$1.05"
"Codex Protocol","$12.00","7/24/18","35","$0.34"
